"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Registration","5","0","","0"
"0","E2E Purchase Flow","0","Cart management with more than one product","1","0","","0"
"0","E2E Purchase Flow","0","Registered User Checkout","1","0","","0"
"0","E2E Purchase Flow","0","Guest Checkout","1","0","","0"
"0","","0","Login Flow","3","0","","0"
"0","","0","Login UI","1","0","","0"
